,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
760,158000000,2.0,60,42,1300,1,1,0,2630000,781700
761,520000000,2.0,84,45,1300,1,1,0,6190000,2570000
762,650000000,4.0,60,65,2200,1,1,0,10830000,3220000
763,500000000,2.0,60,46,2200,1,0,0,8330000,2470000
764,450000000,2.0,60,45,2200,1,0,0,7500000,2230000
765,475000000,3.0,100,76,1300,1,1,0,4750000,2350000
766,140000000,2.0,60,24,1300,1,1,0,2330000,692640
767,152000000,2.0,60,42,1300,1,1,0,2530000,752010
787,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
790,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
793,560000000,2.0,72,36,1300,1,1,0,7780000,2770000
794,560000000,2.0,72,36,1300,1,1,0,7780000,2770000
795,695000000,3.0,60,45,2200,1,1,0,11580000,3440000
797,168000000,2.0,60,42,1300,1,1,0,2800000,831170
801,500000000,2.0,60,36,1300,1,1,0,8330000,2470000
802,717000000,2.0,80,55,2200,1,1,0,8960000,3550000
803,717000000,2.0,80,55,2200,1,1,0,8960000,3550000
805,158000000,2.0,60,38,1300,1,1,0,2630000,781700
806,152000000,2.0,60,42,1300,1,1,0,2530000,752010
807,152000000,2.0,60,38,1300,1,1,0,2530000,752010
808,152000000,2.0,60,42,1300,1,1,0,2530000,752010
809,158000000,2.0,60,42,1300,1,1,0,2630000,781700
810,152000000,2.0,60,38,1300,1,1,0,2530000,752010
811,152000000,2.0,60,42,1300,1,1,0,2530000,752010
812,152000000,2.0,60,42,1300,1,1,0,2530000,752010
813,152000000,2.0,60,42,1300,1,1,0,2530000,752010
814,152000000,2.0,60,42,1300,1,1,0,2530000,752010
815,152000000,2.0,60,42,1300,1,1,0,2530000,752010
816,300000000,2.0,60,30,1300,1,1,0,5000000,1480000
818,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
